H,HN,NE,OW,PH,PW,St,st_1,W
Baja,si,si,armado,si,si,Atacar,Atacar,armado
Baja,si,si,desarmado,no,no,Recoger_Armas,Atacar,armado
Baja,si,si,desarmado,si,si,Atacar,Recoger_Energia,desarmado
Baja,si,no,armado,si,no,Huir,Recoger_Energia,armado
Alta,si,no,desarmado,no,no,Explorar,Atacar,armado
Alta,no,no,desarmado,no,no,Explorar,Explorar,desarmado
Alta,no,no,armado,no,si,Detectar_Peligro,Atacar,armado
Alta,si,no,desarmado,no,no,Recoger_Energia,Explorar,desarmado
Baja,no,no,desarmado,si,si,Huir,Recoger_Energia,armado
Alta,si,si,armado,si,si,Detectar_Peligro,Atacar,armado
Alta,no,no,desarmado,si,si,Detectar_Peligro,Detectar_Peligro,armado
Alta,si,si,desarmado,no,no,Atacar,Atacar,armado
Alta,si,no,desarmado,no,si,Explorar,Explorar,desarmado
Baja,no,si,armado,si,si,Atacar,Atacar,armado
Baja,si,no,desarmado,no,no,Explorar,Detectar_Peligro,armado
Baja,no,si,armado,si,no,Recoger_Armas,Explorar,desarmado
Alta,si,no,desarmado,si,si,Explorar,Detectar_Peligro,armado
Alta,si,no,armado,no,no,Recoger_Armas,Detectar_Peligro,armado
Alta,no,si,desarmado,no,si,Explorar,Atacar,armado
Alta,no,si,armado,si,si,Explorar,Atacar,armado
Baja,no,no,desarmado,si,si,Atacar,Recoger_Energia,armado
Alta,si,si,desarmado,si,si,Explorar,Atacar,armado
Baja,si,no,desarmado,no,no,Recoger_Energia,Explorar,desarmado
Baja,si,no,desarmado,si,no,Explorar,Detectar_Peligro,desarmado
Alta,si,si,desarmado,no,no,Huir,Atacar,armado
Baja,no,si,desarmado,no,no,Detectar_Peligro,Detectar_Peligro,armado
Alta,si,si,armado,si,si,Explorar,Atacar,armado
Alta,no,si,armado,si,si,Explorar,Atacar,armado
Baja,no,no,armado,no,no,Detectar_Peligro,Atacar,armado
Alta,si,si,desarmado,no,si,Recoger_Energia,Detectar_Peligro,armado
Baja,si,si,desarmado,si,si,Detectar_Peligro,Atacar,desarmado
Alta,si,si,armado,no,si,Recoger_Armas,Atacar,armado
Alta,si,si,desarmado,no,no,Huir,Explorar,armado
Baja,si,no,desarmado,no,no,Explorar,Explorar,desarmado
Alta,si,si,desarmado,si,si,Detectar_Peligro,Atacar,armado
Baja,si,si,armado,si,no,Recoger_Energia,Explorar,desarmado
Alta,si,no,desarmado,si,si,Explorar,Recoger_Armas,armado
Baja,no,no,armado,si,no,Atacar,Detectar_Peligro,armado
Alta,si,no,armado,si,si,Huir,Recoger_Armas,desarmado
Alta,si,no,desarmado,no,no,Recoger_Armas,Atacar,armado
Baja,si,si,desarmado,si,no,Recoger_Armas,Atacar,armado
Baja,si,no,armado,si,si,Huir,Recoger_Energia,armado
Alta,si,no,armado,no,no,Recoger_Energia,Explorar,desarmado
Alta,si,si,desarmado,no,si,Recoger_Energia,Explorar,desarmado
Alta,no,si,armado,si,si,Atacar,Atacar,armado
Alta,si,no,desarmado,no,no,Recoger_Energia,Detectar_Peligro,armado
Baja,si,si,desarmado,no,si,Huir,Atacar,armado
Alta,si,no,armado,no,no,Detectar_Peligro,Atacar,armado
Baja,si,si,armado,no,no,Recoger_Armas,Atacar,armado
Alta,si,no,desarmado,si,si,Recoger_Armas,Detectar_Peligro,desarmado
Alta,si,si,armado,si,no,Recoger_Energia,Explorar,armado
Baja,no,si,desarmado,no,no,Explorar,Detectar_Peligro,armado
Alta,si,no,desarmado,si,si,Explorar,Recoger_Energia,desarmado
Alta,si,no,desarmado,si,no,Explorar,Atacar,armado
Alta,si,no,desarmado,si,si,Recoger_Armas,Detectar_Peligro,armado
Baja,si,no,desarmado,si,si,Recoger_Armas,Explorar,armado
Alta,si,si,armado,no,no,Recoger_Armas,Atacar,armado
Alta,no,si,desarmado,no,si,Recoger_Energia,Atacar,armado
