Número de documentos (noticias) del corpus: 305
Número de palabras del corpus: 5005
Palabra:  Frec.:1326 LogProb: -1.46
Palabra: oper Frec.:73 LogProb: -4.35
Palabra: margin Frec.:6 LogProb: -6.71
Palabra: slip Frec.:6 LogProb: -6.71
Palabra: howev Frec.:7 LogProb: -6.57
Palabra: drag Frec.:1 LogProb: -7.96
Palabra: poor Frec.:2 LogProb: -7.55
Palabra: perform Frec.:5 LogProb: -6.86
Palabra: enterpris Frec.:1 LogProb: -7.96
Palabra: solut Frec.:7 LogProb: -6.57
Palabra: quarter Frec.:56 LogProb: -4.61
Palabra: profit Frec.:106 LogProb: -3.98
Palabra: eurm Frec.:9 LogProb: -6.35
Palabra: went Frec.:3 LogProb: -7.26
Palabra: fourth Frec.:6 LogProb: -6.71
Palabra: eur Frec.:252 LogProb: -3.12
Palabra: correspond Frec.:32 LogProb: -5.15
Palabra: period Frec.:51 LogProb: -4.7
Palabra: includ Frec.:3 LogProb: -7.26
Palabra: cost Frec.:6 LogProb: -6.71
Palabra: growth Frec.:4 LogProb: -7.04
Palabra: project Frec.:4 LogProb: -7.04
Palabra: share Frec.:30 LogProb: -5.22
Palabra: hit Frec.:7 LogProb: -6.57
Palabra: investor Frec.:3 LogProb: -7.26
Palabra: larg Frec.:4 LogProb: -7.04
Palabra: disappoint Frec.:3 LogProb: -7.26
Palabra: said Frec.:38 LogProb: -4.99
Palabra: dealer Frec.:2 LogProb: -7.55
Palabra: refin Frec.:1 LogProb: -7.96
Palabra: usd Frec.:11 LogProb: -6.17
Palabra: per Frec.:16 LogProb: -5.82
Palabra: barrel Frec.:1 LogProb: -7.96
Palabra: ship Frec.:3 LogProb: -7.26
Palabra: unit Frec.:7 LogProb: -6.57
Palabra: saw Frec.:1 LogProb: -7.96
Palabra: ebit Frec.:3 LogProb: -7.26
Palabra: drop Frec.:18 LogProb: -5.71
Palabra: mln Frec.:45 LogProb: -4.82
Palabra: year Frec.:50 LogProb: -4.72
Palabra: amid Frec.:1 LogProb: -7.96
Palabra: fall Frec.:8 LogProb: -6.45
Palabra: volum Frec.:6 LogProb: -6.71
Palabra: tanker Frec.:1 LogProb: -7.96
Palabra: rate Frec.:3 LogProb: -7.26
Palabra: diminish Frec.:1 LogProb: -7.96
Palabra: sale Frec.:68 LogProb: -4.42
Palabra: seppala Frec.:1 LogProb: -7.96
Palabra: cent Frec.:4 LogProb: -7.04
Palabra: total Frec.:45 LogProb: -4.82
Palabra: fund Frec.:2 LogProb: -7.55
Palabra: decreas Frec.:47 LogProb: -4.78
Palabra: manag Frec.:8 LogProb: -6.45
Palabra: capit Frec.:5 LogProb: -6.86
Palabra: bank Frec.:10 LogProb: -6.25
Palabra: mn Frec.:160 LogProb: -3.57
Palabra: end Frec.:10 LogProb: -6.25
Palabra: septemb Frec.:8 LogProb: -6.45
Palabra: export Frec.:2 LogProb: -7.55
Palabra: million Frec.:46 LogProb: -4.8
Palabra: declin Frec.:10 LogProb: -6.25
Palabra: liter Frec.:2 LogProb: -7.55
Palabra: percent Frec.:12 LogProb: -6.09
Palabra: estonian Frec.:2 LogProb: -7.55
Palabra: electron Frec.:7 LogProb: -6.57
Palabra: compon Frec.:2 LogProb: -7.55
Palabra: run Frec.:3 LogProb: -7.26
Palabra: elcoteq Frec.:4 LogProb: -7.04
Palabra: factori Frec.:1 LogProb: -7.96
Palabra: materi Frec.:1 LogProb: -7.96
Palabra: closur Frec.:2 LogProb: -7.55
Palabra: air Frec.:2 LogProb: -7.55
Palabra: traffic Frec.:5 LogProb: -6.86
Palabra: dec Frec.:2 LogProb: -7.55
Palabra: adpnew Frec.:5 LogProb: -6.86
Palabra: cutleri Frec.:1 LogProb: -7.96
Palabra: finnish Frec.:57 LogProb: -4.59
Palabra: hand Frec.:1 LogProb: -7.96
Palabra: tool Frec.:1 LogProb: -7.96
Palabra: maker Frec.:6 LogProb: -6.71
Palabra: fiskar Frec.:1 LogProb: -7.96
Palabra: oyj Frec.:32 LogProb: -5.15
Palabra: abp Frec.:2 LogProb: -7.55
Palabra: hel Frec.:15 LogProb: -5.88
Palabra: fisa Frec.:1 LogProb: -7.96
Palabra: today Frec.:16 LogProb: -5.82
Palabra: make Frec.:2 LogProb: -7.55
Palabra: redund Frec.:1 LogProb: -7.96
Palabra: offic Frec.:1 LogProb: -7.96
Palabra: staff Frec.:3 LogProb: -7.26
Palabra: member Frec.:3 LogProb: -7.26
Palabra: subsidiari Frec.:2 LogProb: -7.55
Palabra: iittala Frec.:1 LogProb: -7.96
Palabra: group Frec.:20 LogProb: -5.61
Palabra: ltd Frec.:1 LogProb: -7.96
Palabra: tallink Frec.:1 LogProb: -7.96
Palabra: attribut Frec.:1 LogProb: -7.96
Palabra: silja Frec.:1 LogProb: -7.96
Palabra: signific Frec.:1 LogProb: -7.96
Palabra: problem Frec.:1 LogProb: -7.96
Palabra: book Frec.:1 LogProb: -7.96
Palabra: system Frec.:9 LogProb: -6.35
Palabra: taken Frec.:1 LogProb: -7.96
Palabra: octob Frec.:6 LogProb: -6.71
Palabra: trailer Frec.:1 LogProb: -7.96
Palabra: ferri Frec.:2 LogProb: -7.55
Palabra: sky Frec.:1 LogProb: -7.96
Palabra: wind Frec.:1 LogProb: -7.96
Palabra: rout Frec.:4 LogProb: -7.04
Palabra: stockholm Frec.:2 LogProb: -7.55
Palabra: riga Frec.:1 LogProb: -7.96
Palabra: passeng Frec.:8 LogProb: -6.45
Palabra: helsinkistockholm Frec.:1 LogProb: -7.96
Palabra: kiosk Frec.:1 LogProb: -7.96
Palabra: cinema Frec.:1 LogProb: -7.96
Palabra: suffer Frec.:2 LogProb: -7.55
Palabra: particular Frec.:1 LogProb: -7.96
Palabra: budapest Frec.:1 LogProb: -7.96
Palabra: august Frec.:6 LogProb: -6.71
Palabra: mti Frec.:2 LogProb: -7.55
Palabra: lay Frec.:1 LogProb: -7.96
Palabra: worker Frec.:4 LogProb: -7.04
Palabra: plant Frec.:2 LogProb: -7.55
Palabra: pec Frec.:1 LogProb: -7.96
Palabra: hungari Frec.:1 LogProb: -7.96
Palabra: order Frec.:5 LogProb: -6.86
Palabra: commun Frec.:5 LogProb: -6.86
Palabra: director Frec.:3 LogProb: -7.26
Palabra: local Frec.:3 LogProb: -7.26
Palabra: zoltan Frec.:1 LogProb: -7.96
Palabra: krippl Frec.:1 LogProb: -7.96
Palabra: told Frec.:2 LogProb: -7.55
Palabra: monday Frec.:4 LogProb: -7.04
Palabra: measur Frec.:3 LogProb: -7.26
Palabra: industri Frec.:8 LogProb: -6.45
Palabra: shipbuild Frec.:1 LogProb: -7.96
Palabra: weak Frec.:5 LogProb: -6.86
Palabra: result Frec.:16 LogProb: -5.82
Palabra: demand Frec.:6 LogProb: -6.71
Palabra: finland Frec.:16 LogProb: -5.82
Palabra: market Frec.:14 LogProb: -5.94
Palabra: helsinki Frec.:23 LogProb: -5.47
Palabra: tallinn Frec.:1 LogProb: -7.96
Palabra: estonia Frec.:2 LogProb: -7.55
Palabra: percentag Frec.:3 LogProb: -7.26
Palabra: point Frec.:4 LogProb: -7.04
Palabra: implement Frec.:1 LogProb: -7.96
Palabra: program Frec.:1 LogProb: -7.96
Palabra: neg Frec.:10 LogProb: -6.25
Palabra: impact Frec.:3 LogProb: -7.26
Palabra: earn Frec.:8 LogProb: -6.45
Palabra: mr Frec.:2 LogProb: -7.55
Palabra: meiklejohn Frec.:1 LogProb: -7.96
Palabra: consolid Frec.:2 LogProb: -7.55
Palabra: continu Frec.:7 LogProb: -6.57
Palabra: lend Frec.:2 LogProb: -7.55
Palabra: sampo Frec.:1 LogProb: -7.96
Palabra: first Frec.:35 LogProb: -5.07
Palabra: earlier Frec.:20 LogProb: -5.61
Palabra: lower Frec.:23 LogProb: -5.47
Palabra: outlook Frec.:2 LogProb: -7.55
Palabra: publish Frec.:1 LogProb: -7.96
Palabra: rival Frec.:4 LogProb: -7.04
Palabra: say Frec.:3 LogProb: -7.26
Palabra: phone Frec.:3 LogProb: -7.26
Palabra: patent Frec.:1 LogProb: -7.96
Palabra: qualcomm Frec.:1 LogProb: -7.96
Palabra: fewer Frec.:1 LogProb: -7.96
Palabra: version Frec.:1 LogProb: -7.96
Palabra: juri Frec.:1 LogProb: -7.96
Palabra: board Frec.:1 LogProb: -7.96
Palabra: lember Frec.:1 LogProb: -7.96
Palabra: chairman Frec.:1 LogProb: -7.96
Palabra: bn Frec.:3 LogProb: -7.26
Palabra: deputi Frec.:1 LogProb: -7.96
Palabra: emsa Frec.:1 LogProb: -7.96
Palabra: wednesday Frec.:2 LogProb: -7.55
Palabra: time Frec.:2 LogProb: -7.55
Palabra: heard Frec.:1 LogProb: -7.96
Palabra: strike Frec.:6 LogProb: -6.71
Palabra: swedish Frec.:2 LogProb: -7.55
Palabra: side Frec.:1 LogProb: -7.96
Palabra: inform Frec.:2 LogProb: -7.55
Palabra: union Frec.:3 LogProb: -7.26
Palabra: yet Frec.:1 LogProb: -7.96
Palabra: compar Frec.:51 LogProb: -4.7
Palabra: loss Frec.:51 LogProb: -4.7
Palabra: compani Frec.:43 LogProb: -4.87
Palabra: push Frec.:1 LogProb: -7.96
Palabra: announc Frec.:3 LogProb: -7.26
Palabra: freenet Frec.:2 LogProb: -7.55
Palabra: frankfurt Frec.:2 LogProb: -7.55
Palabra: trade Frec.:6 LogProb: -6.71
Palabra: gave Frec.:1 LogProb: -7.96
Palabra: hope Frec.:1 LogProb: -7.96
Palabra: internet Frec.:2 LogProb: -7.55
Palabra: ag Frec.:2 LogProb: -7.55
Palabra: drillisch Frec.:1 LogProb: -7.96
Palabra: would Frec.:5 LogProb: -6.86
Palabra: pursu Frec.:1 LogProb: -7.96
Palabra: takeov Frec.:1 LogProb: -7.96
Palabra: breakup Frec.:1 LogProb: -7.96
Palabra: eaten Frec.:1 LogProb: -7.96
Palabra: dollar Frec.:1 LogProb: -7.96
Palabra: us Frec.:8 LogProb: -6.45
Palabra: net Frec.:68 LogProb: -4.42
Palabra: fennia Frec.:1 LogProb: -7.96
Palabra: kesko Frec.:2 LogProb: -7.55
Palabra: insur Frec.:4 LogProb: -7.04
Palabra: loyal Frec.:1 LogProb: -7.96
Palabra: custom Frec.:3 LogProb: -7.26
Palabra: cooper Frec.:1 LogProb: -7.96
Palabra: amount Frec.:11 LogProb: -6.17
Palabra: half Frec.:18 LogProb: -5.71
Palabra: lost Frec.:2 LogProb: -7.55
Palabra: ground Frec.:1 LogProb: -7.96
Palabra: samsung Frec.:1 LogProb: -7.96
Palabra: current Frec.:3 LogProb: -7.26
Palabra: place Frec.:1 LogProb: -7.96
Palabra: occupi Frec.:1 LogProb: -7.96
Palabra: third Frec.:17 LogProb: -5.76
Palabra: overal Frec.:1 LogProb: -7.96
Palabra: month Frec.:12 LogProb: -6.09
Palabra: three Frec.:5 LogProb: -6.86
Palabra: march Frec.:8 LogProb: -6.45
Palabra: slid Frec.:2 LogProb: -7.55
Palabra: last Frec.:9 LogProb: -6.35
Palabra: whole Frec.:8 LogProb: -6.45
Palabra: nation Frec.:2 LogProb: -7.55
Palabra: debt Frec.:1 LogProb: -7.96
Palabra: pay Frec.:2 LogProb: -7.55
Palabra: extrem Frec.:2 LogProb: -7.55
Palabra: pain Frec.:1 LogProb: -7.96
Palabra: ep Frec.:8 LogProb: -6.45
Palabra: baltic Frec.:5 LogProb: -6.86
Palabra: report Frec.:20 LogProb: -5.61
Palabra: state Frec.:1 LogProb: -7.96
Palabra: equival Frec.:1 LogProb: -7.96
Palabra: cash Frec.:6 LogProb: -6.71
Palabra: periodend Frec.:1 LogProb: -7.96
Palabra: previou Frec.:8 LogProb: -6.45
Palabra: equip Frec.:2 LogProb: -7.55
Palabra: move Frec.:2 LogProb: -7.55
Palabra: trigger Frec.:1 LogProb: -7.96
Palabra: forestri Frec.:1 LogProb: -7.96
Palabra: uncertain Frec.:1 LogProb: -7.96
Palabra: situat Frec.:5 LogProb: -6.86
Palabra: print Frec.:5 LogProb: -6.86
Palabra: fell Frec.:29 LogProb: -5.25
Palabra: busi Frec.:4 LogProb: -7.04
Palabra: extern Frec.:1 LogProb: -7.96
Palabra: partli Frec.:1 LogProb: -7.96
Palabra: due Frec.:10 LogProb: -6.25
Palabra: termin Frec.:1 LogProb: -7.96
Palabra: contract Frec.:8 LogProb: -6.45
Palabra: ilkkayhtyma Frec.:3 LogProb: -7.26
Palabra: hous Frec.:2 LogProb: -7.55
Palabra: iprint Frec.:1 LogProb: -7.96
Palabra: oy Frec.:2 LogProb: -7.55
Palabra: sector Frec.:3 LogProb: -7.26
Palabra: player Frec.:1 LogProb: -7.96
Palabra: hss Frec.:1 LogProb: -7.96
Palabra: media Frec.:6 LogProb: -6.71
Palabra: ab Frec.:3 LogProb: -7.26
Palabra: decemb Frec.:1 LogProb: -7.96
Palabra: price Frec.:9 LogProb: -6.35
Palabra: turnov Frec.:4 LogProb: -7.04
Palabra: friday Frec.:2 LogProb: -7.55
Palabra: nokia Frec.:2 LogProb: -7.55
Palabra: euro Frec.:31 LogProb: -5.19
Palabra: start Frec.:1 LogProb: -7.96
Palabra: part Frec.:1 LogProb: -7.96
Palabra: slow Frec.:3 LogProb: -7.26
Palabra: introduct Frec.:1 LogProb: -7.96
Palabra: touchscreen Frec.:1 LogProb: -7.96
Palabra: model Frec.:1 LogProb: -7.96
Palabra: revenu Frec.:6 LogProb: -6.71
Palabra: billion Frec.:6 LogProb: -6.71
Palabra: forest Frec.:3 LogProb: -7.26
Palabra: stora Frec.:5 LogProb: -6.86
Palabra: enso Frec.:4 LogProb: -7.04
Palabra: issu Frec.:6 LogProb: -6.71
Palabra: thursday Frec.:3 LogProb: -7.26
Palabra: warn Frec.:7 LogProb: -6.57
Palabra: recent Frec.:3 LogProb: -7.26
Palabra: brought Frec.:1 LogProb: -7.96
Palabra: major Frec.:3 LogProb: -7.26
Palabra: kroon Frec.:3 LogProb: -7.26
Palabra: fifth Frec.:1 LogProb: -7.96
Palabra: scanfil Frec.:7 LogProb: -6.57
Palabra: manufactur Frec.:8 LogProb: -6.45
Palabra: supplier Frec.:6 LogProb: -6.71
Palabra: smaller Frec.:3 LogProb: -7.26
Palabra: fh Frec.:1 LogProb: -7.96
Palabra: konecran Frec.:1 LogProb: -7.96
Palabra: kcrv Frec.:1 LogProb: -7.96
Palabra: biggest Frec.:2 LogProb: -7.55
Palabra: sinc Frec.:4 LogProb: -7.04
Palabra: june Frec.:4 LogProb: -7.04
Palabra: grimaldi Frec.:1 LogProb: -7.96
Palabra: finnlin Frec.:3 LogProb: -7.26
Palabra: januaryjun Frec.:5 LogProb: -6.86
Palabra: shrank Frec.:1 LogProb: -7.96
Palabra: suppli Frec.:1 LogProb: -7.96
Palabra: efor Frec.:2 LogProb: -7.55
Palabra: provid Frec.:4 LogProb: -7.04
Palabra: power Frec.:2 LogProb: -7.55
Palabra: widen Frec.:3 LogProb: -7.26
Palabra: fiscal Frec.:5 LogProb: -6.86
Palabra: engin Frec.:1 LogProb: -7.96
Palabra: construct Frec.:3 LogProb: -7.26
Palabra: april Frec.:3 LogProb: -7.26
Palabra: outotec Frec.:1 LogProb: -7.96
Palabra: otev Frec.:1 LogProb: -7.96
Palabra: close Frec.:5 LogProb: -6.86
Palabra: upm Frec.:2 LogProb: -7.55
Palabra: mill Frec.:1 LogProb: -7.96
Palabra: product Frec.:13 LogProb: -6.01
Palabra: cut Frec.:3 LogProb: -7.26
Palabra: slash Frec.:2 LogProb: -7.55
Palabra: job Frec.:3 LogProb: -7.26
Palabra: term Frec.:4 LogProb: -7.04
Palabra: finnair Frec.:7 LogProb: -6.57
Palabra: kilometr Frec.:1 LogProb: -7.96
Palabra: tuesday Frec.:3 LogProb: -7.26
Palabra: ago Frec.:4 LogProb: -7.04
Palabra: headcount Frec.:1 LogProb: -7.96
Palabra: reduct Frec.:1 LogProb: -7.96
Palabra: person Frec.:1 LogProb: -7.96
Palabra: ixono Frec.:1 LogProb: -7.96
Palabra: softwar Frec.:4 LogProb: -7.04
Palabra: nearli Frec.:3 LogProb: -7.26
Palabra: tax Frec.:8 LogProb: -6.45
Palabra: account Frec.:3 LogProb: -7.26
Palabra: orion Frec.:2 LogProb: -7.55
Palabra: pharmaceut Frec.:1 LogProb: -7.96
Palabra: thirdquart Frec.:1 LogProb: -7.96
Palabra: corp Frec.:3 LogProb: -7.26
Palabra: larger Frec.:1 LogProb: -7.96
Palabra: expenditur Frec.:2 LogProb: -7.55
Palabra: eu Frec.:2 LogProb: -7.55
Palabra: thyssenkrupp Frec.:1 LogProb: -7.96
Palabra: fine Frec.:1 LogProb: -7.96
Palabra: commiss Frec.:2 LogProb: -7.55
Palabra: technolog Frec.:4 LogProb: -7.04
Palabra: oti Frec.:1 LogProb: -7.96
Palabra: schindler Frec.:1 LogProb: -7.96
Palabra: kone Frec.:2 LogProb: -7.55
Palabra: alleg Frec.:1 LogProb: -7.96
Palabra: cartel Frec.:1 LogProb: -7.96
Palabra: activ Frec.:3 LogProb: -7.26
Palabra: lift Frec.:1 LogProb: -7.96
Palabra: go Frec.:2 LogProb: -7.55
Palabra: back Frec.:1 LogProb: -7.96
Palabra: twelv Frec.:1 LogProb: -7.96
Palabra: news Frec.:5 LogProb: -6.86
Palabra: adp Frec.:4 LogProb: -7.04
Palabra: feb Frec.:4 LogProb: -7.04
Palabra: lemminkainen Frec.:1 LogProb: -7.96
Palabra: lem Frec.:1 LogProb: -7.96
Palabra: develop Frec.:6 LogProb: -6.71
Palabra: retail Frec.:2 LogProb: -7.55
Palabra: aldata Frec.:1 LogProb: -7.96
Palabra: versu Frec.:2 LogProb: -7.55
Palabra: nike Frec.:1 LogProb: -7.96
Palabra: store Frec.:2 LogProb: -7.55
Palabra: finlandbas Frec.:3 LogProb: -7.26
Palabra: franchis Frec.:1 LogProb: -7.96
Palabra: seven Frec.:1 LogProb: -7.96
Palabra: stockmann Frec.:1 LogProb: -7.96
